year_month,year,month,spend_category,weekday_spend_per_visitor_yen,weekend_spend_per_visitor_yen,weekend_over_weekday,weekend_minus_weekday_yen,source,source_url,indicator_definition,notes
2025-06,2025,6,Lodging,27167,25921,0.954,-1246,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-07,2025,7,Lodging,30248,23268,0.769,-6980,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-08,2025,8,Lodging,30958,31718,1.025,760,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-09,2025,9,Lodging,20436,22023,1.078,1587,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-10,2025,10,Lodging,21510,26146,1.216,4636,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-11,2025,11,Lodging,28829,27643,0.959,-1186,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-12,2025,12,Lodging,31789,25661,0.807,-6128,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2026-01,2026,1,Lodging,35658,30241,0.848,-5417,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2026-02,2026,2,Lodging,28904,25117,0.869,-3787,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2026-03,2026,3,Lodging,31824,25773,0.81,-6051,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-01,2025,1,Food and beverage,4517,4805,1.064,288,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-02,2025,2,Food and beverage,3764,4668,1.24,904,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-03,2025,3,Food and beverage,4614,5122,1.11,508,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-04,2025,4,Food and beverage,4177,4283,1.025,106,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-05,2025,5,Food and beverage,4209,4775,1.134,566,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-06,2025,6,Food and beverage,4380,4930,1.126,550,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-07,2025,7,Food and beverage,4052,4782,1.18,730,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-08,2025,8,Food and beverage,4746,4720,0.995,-26,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-09,2025,9,Food and beverage,4067,4681,1.151,614,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-10,2025,10,Food and beverage,4022,3927,0.976,-95,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-11,2025,11,Food and beverage,4792,5067,1.057,275,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-12,2025,12,Food and beverage,4842,4826,0.997,-16,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2026-01,2026,1,Food and beverage,4193,4745,1.132,552,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2026-02,2026,2,Food and beverage,4529,4659,1.029,130,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2026-03,2026,3,Food and beverage,4007,4407,1.1,400,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
